Frame,Time,C7_X,C7_Y,C7_Z,STRN_X,STRN_Y,STRN_Z,RSHO_X,RSHO_Y,RSHO_Z,RELB_X,RELB_Y,RELB_Z,RWRA_X,RWRA_Y,RWRA_Z,LSHO_X,LSHO_Y,LSHO_Z,LELB_X,LELB_Y,LELB_Z,LWRA_X,LWRA_Y,LWRA_Z
22,0.21,10.442612,1341.9965,-212.38098,21.639669,1069.895,20.828522,-126.19433,1332.4172,-122.19088,-237.42838,999.45569,-142.73553,-195.04211,802.34882,-22.898714,145.15105,1342.5063,-130.71135,262.77731,1007.8748,-131.69843,212.58681,798.08557,-44.117729
23,0.22,10.468542,1341.994,-212.29906,21.627789,1069.8434,20.864815,-126.17512,1332.4435,-122.08315,-237.45604,999.46979,-142.6503,-195.06601,802.38202,-22.786768,145.1619,1342.4893,-130.64909,262.78632,1007.832,-131.62965,212.58031,798.06909,-44.05542
24,0.23,10.491628,1342.0303,-212.25243,21.604811,1069.8463,20.940741,-126.16867,1332.4651,-122.07153,-237.46434,999.48029,-142.55301,-195.07033,802.40906,-22.725014,145.13998,1342.4454,-130.60454,262.78711,1007.7842,-131.63058,212.50681,798.01935,-43.980873
25,0.24,10.46631,1342.0211,-212.22067,21.579496,1069.8221,20.953772,-126.1963,1332.4603,-122.0273,-237.46103,999.50671,-142.55363,-195.0787,802.4209,-22.629023,145.18002,1342.4314,-130.54004,262.75946,1007.7502,-131.62048,212.50406,797.95319,-44.019325
26,0.25,10.489502,1342.01,-212.17365,21.528954,1069.8417,20.957994,-126.17397,1332.4766,-121.96251,-237.45297,999.50085,-142.51898,-195.09572,802.4267,-22.593752,145.16908,1342.3932,-130.48569,262.76651,1007.6913,-131.61079,212.51033,797.94434,-43.950768
27,0.26,10.513495,1341.9657,-212.06953,21.510748,1069.7921,20.999067,-126.1892,1332.5007,-121.89958,-237.442,999.50269,-142.44463,-195.10973,802.42999,-22.514746,145.18871,1342.3853,-130.44708,262.74985,1007.6714,-131.59688,212.50322,797.90173,-43.962929
28,0.27,10.495743,1341.979,-212.06891,21.489035,1069.7629,21.042091,-126.18445,1332.4836,-121.80814,-237.46828,999.51251,-142.40697,-195.10855,802.45709,-22.493736,145.18675,1342.3608,-130.41208,262.7088,1007.6459,-131.573,212.49965,797.90063,-43.824398
29,0.28,10.491884,1341.9626,-212.00677,21.468046,1069.7603,21.043417,-126.18301,1332.4978,-121.86263,-237.4693,999.51263,-142.40552,-195.05786,802.46216,-22.48411,145.16193,1342.333,-130.3781,262.69623,1007.6338,-131.52751,212.55533,797.8429,-43.967621
30,0.29,10.495079,1341.9695,-211.97527,21.434387,1069.7708,21.014565,-126.19072,1332.4779,-121.74345,-237.45972,999.52576,-142.37502,-195.06595,802.50092,-22.440742,145.18793,1342.3053,-130.31375,262.68481,1007.6295,-131.5294,212.5728,797.81494,-44.006676
31,0.3,10.497442,1341.979,-211.99345,21.416782,1069.7843,21.010612,-126.21555,1332.479,-121.73206,-237.50336,999.52911,-142.31894,-195.06227,802.50739,-22.449717,145.16672,1342.3055,-130.28204,262.69919,1007.6307,-131.52631,212.53996,797.83105,-43.974354
32,0.31,10.49179,1341.9612,-211.92917,21.395563,1069.7532,21.023151,-126.20488,1332.4896,-121.72276,-237.49834,999.50281,-142.30473,-195.08521,802.4704,-22.430025,145.16982,1342.2869,-130.24992,262.68478,1007.6161,-131.54747,212.55806,797.76819,-44.106441
33,0.32,10.494521,1341.9688,-211.90042,21.381084,1069.7336,21.032862,-126.22939,1332.4862,-121.68186,-237.48267,999.47955,-142.30035,-195.0612,802.47845,-22.419731,145.15759,1342.2802,-130.22772,262.68784,1007.5908,-131.55214,212.54883,797.74597,-44.080486
34,0.33,10.464225,1341.9407,-211.80045,21.372301,1069.7271,21.108793,-126.23727,1332.4972,-121.69852,-237.42731,999.46484,-142.34465,-195.04723,802.49622,-22.436169,145.17229,1342.2825,-130.15637,262.6813,1007.5805,-131.59189,212.54601,797.67413,-44.285198
35,0.34,10.491245,1341.9575,-211.77992,21.370905,1069.681,21.104765,-126.25359,1332.4757,-121.6741,-237.42717,999.44989,-142.33647,-195.03845,802.4834,-22.382584,145.15463,1342.2815,-130.14058,262.6908,1007.5817,-131.60333,212.58182,797.69873,-44.280224
36,0.35,10.480017,1342.0084,-211.79666,21.390789,1069.7152,21.046062,-126.24921,1332.4437,-121.65926,-237.42273,999.41095,-142.35446,-195.05931,802.39282,-22.394924,145.13997,1342.2839,-130.07077,262.68457,1007.5493,-131.63979,212.52519,797.67303,-44.311001
37,0.36,10.476255,1341.9927,-211.73447,21.367422,1069.6992,21.022928,-126.2374,1332.4407,-121.61447,-237.41023,999.39667,-142.33495,-195.02721,802.42639,-22.405758,145.15428,1342.2549,-130.02193,262.68289,1007.5595,-131.68417,212.54207,797.65216,-44.371529
38,0.37,10.505747,1342.0156,-211.75336,21.344009,1069.6387,21.137373,-126.25244,1332.4187,-121.60435,-237.35899,999.37585,-142.37971,-195.00301,802.37738,-22.42931,145.15373,1342.2531,-129.98253,262.69254,1007.5421,-131.69878,212.53091,797.677,-44.35051
39,0.38,10.474534,1341.9824,-211.70425,21.344324,1069.6635,21.072041,-126.24155,1332.4194,-121.61234,-237.34601,999.34827,-142.36212,-194.95453,802.34998,-22.433786,145.16068,1342.2417,-129.95322,262.69843,1007.5228,-131.72345,212.52174,797.65533,-44.434418
40,0.39,10.493016,1341.9628,-211.63274,21.360603,1069.6621,21.047594,-126.23818,1332.38,-121.56009,-237.30254,999.3266,-142.40799,-194.94116,802.33569,-22.474735,145.19777,1342.243,-129.91049,262.69382,1007.5228,-131.75581,212.51448,797.66132,-44.459671
41,0.4,10.518801,1341.9701,-211.59126,21.329361,1069.6019,21.141684,-126.21642,1332.3909,-121.6594,-237.26645,999.33496,-142.51187,-194.8914,802.30841,-22.509727,145.18756,1342.2516,-129.89352,262.72238,1007.5127,-131.75993,212.45821,797.63751,-44.523663
42,0.41,10.523272,1341.9956,-211.63774,21.339376,1069.5863,21.143581,-126.22495,1332.3666,-121.59939,-237.20874,999.31464,-142.55901,-194.86171,802.27594,-22.583874,145.20218,1342.2538,-129.84587,262.70572,1007.5231,-131.76976,212.49118,797.04504,-46.115925
43,0.42,10.523872,1341.9973,-211.64087,21.333849,1069.5714,21.123116,-126.22766,1332.3544,-121.60452,-237.18694,999.28748,-142.54549,-194.82225,802.23132,-22.648163,145.20131,1342.2842,-129.82108,262.70529,1007.5148,-131.76483,212.43683,797.04828,-46.170593
44,0.43,10.566996,1341.974,-211.54248,21.331074,1069.554,21.13397,-126.22783,1332.3694,-121.65297,-237.14706,999.25806,-142.60117,-194.75928,802.1944,-22.705542,145.2124,1342.296,-129.80386,262.69244,1007.5238,-131.76105,212.40999,797.06976,-46.174419
45,0.44,10.591461,1341.988,-211.54398,21.332275,1069.5399,21.140167,-126.21561,1332.3685,-121.61903,-237.08855,999.25909,-142.63144,-194.739,802.16742,-22.780485,145.21121,1342.3055,-129.7598,262.69385,1007.5321,-131.76512,212.3933,797.08783,-46.117348
46,0.45,10.622025,1342.007,-211.55061,21.337561,1069.5541,21.13183,-126.21413,1332.3575,-121.60953,-237.00835,999.23547,-142.6552,-194.65372,802.09631,-22.917685,145.24919,1342.316,-129.76343,262.67999,1007.5441,-131.75107,212.3667,797.0672,-46.117668
